"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,71,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,8,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,6,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,17,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,8,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,3,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,6,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,112,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,100,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,10,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,1,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,13,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,10,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,2,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","POL","Poland","NBR","Number","0","Units",,,1,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,158,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,108,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,7,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,11,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,13,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,31,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,7,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,11,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","PRT","Portugal","NBR","Number","0","Units",,,13,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,90,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,85,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,6,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,12,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,20,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,6,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,2,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","SVK","Slovak Republic","NBR","Number","0","Units",,,12,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,172,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,151,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,6,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,18,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","ESP","Spain","NBR","Number","0","Units",,,26,,
